,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
1168,304312.90342465753,12.78913176446571,154703.59675511776,217862.14349822275,15182.477169003245,0.2627501869639085,397183.5322617926,0.29012179959123024,1171242.66089581,106312.5278875038,3075.2887926380317,12893.772585101715,18220.578281953807,3,202679.66632921953,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1985,Aug04v1,CONUS,-1,94,1985,-1,-1,-1,28060.03532163114,154703.59675511776,12.78913176446571,18220.578281953807,-15181.477169003245,15182.477169003245
1351,301565.7832191781,94.30984417766618,141337.50300776036,217862.14349822275,22222.032259453696,0.2586173468685507,397183.5322617926,0.2717274504417589,1171242.66089581,106312.5278875038,3512.1791865099935,13245.49104636295,53986.1532529337,7,195640.11123876905,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1986,Aug04v1,CONUS,-1,94,1986,-1,-1,-1,29022.86191600989,141337.50300776036,94.30984417766618,53986.1532529337,-22221.032259453696,22222.032259453696
1689,303652.43230593606,35.94772638991552,115773.64644122506,217862.14349822275,22801.97801128238,0.26164664662124054,397183.5322617926,0.2502367280831821,1171242.66089581,106312.5278875038,3792.211422841791,14465.63122324577,43303.96184256059,4,195060.16548694042,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1987,Aug04v1,CONUS,-1,94,1987,-1,-1,-1,28451.402200548233,115773.64644122506,35.94772638991552,43303.96184256059,-22800.97801128238,22801.97801128238
872,307889.9653916211,108.36106881184216,163078.53699783437,217862.14349822275,22006.105962919763,0.2648600958818636,397183.5322617926,0.293708643783056,1171242.66089581,106312.5278875038,3131.8147453805864,13242.262009597016,39976.722193659516,13,195856.037535303,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1988,Aug04v1,CONUS,-1,94,1988,-1,-1,-1,29158.846187913336,163078.53699783437,108.36106881184216,39976.722193659516,-22005.105962919763,22006.105962919763
619,304674.93972602737,333.5683970962236,134772.04925038648,217862.14349822275,20473.425267456085,0.2680103812356238,397183.5322617926,0.26686745988252775,1171242.66089581,106312.5278875038,3381.5792420564167,12364.43000985539,92348.9576340823,16,197388.71823076668,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1989,Aug04v1,CONUS,-1,94,1989,-1,-1,-1,31378.779156573273,134772.04925038648,333.5683970962236,92348.9576340823,-20472.425267456085,20473.425267456085
863,298942.67237442924,0.0,158388.29188090094,217862.14349822275,16468.66192059906,0.2638806293628622,397183.5322617926,0.28719262977639115,1171242.66089581,106312.5278875038,2869.7433525836427,12388.277858256919,0.0,0,201393.4815776237,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1990,Aug04v1,CONUS,-1,94,1990,-1,-1,-1,27959.115298227447,158388.29188090094,0.0,0.0,-16467.66192059906,16468.66192059906
183,304121.599086758,12.741525218271176,142564.91337527413,217862.14349822275,20055.908373529346,0.26104045964163736,397183.5322617926,0.27603138109639325,1171242.66089581,106312.5278875038,3264.230360026659,13165.585454235543,27903.940228013875,1,197806.23512469343,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1991,Aug04v1,CONUS,-1,94,1991,-1,-1,-1,28161.755108528105,142564.91337527413,12.741525218271176,27903.940228013875,-20054.908373529346,20055.908373529346
1106,293797.0072859745,0.0,127439.9993131738,217862.14349822275,18099.096437851247,0.25685292529445597,397183.5322617926,0.2574973631627926,1171242.66089581,106312.5278875038,4244.261188776661,13878.61582308737,0.0,0,199763.04706037152,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1992,Aug04v1,CONUS,-1,94,1992,-1,-1,-1,27993.305510054226,127439.9993131738,0.0,0.0,-18098.096437851247,18099.096437851247
1003,303858.71552511415,0.0,149805.73776872412,217862.14349822275,17809.9938764687,0.2629793135138621,397183.5322617926,0.2832842066866996,1171242.66089581,106312.5278875038,3519.115639120399,11557.489056779152,0.0,0,200052.14962175407,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1993,Aug04v1,CONUS,-1,94,1993,-1,-1,-1,27987.243029342033,149805.73776872412,0.0,0.0,-17808.9938764687,17809.9938764687
754,304597.7723744292,28.791993350792016,149839.84354884093,217862.14349822275,22556.22005587845,0.26352530192303597,397183.5322617926,0.2796362636824091,1171242.66089581,106312.5278875038,3033.8079041756755,12435.77902394687,24191.51442973726,6,195305.92344234433,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1995,Aug04v1,CONUS,-1,94,1995,-1,-1,-1,28374.691325832177,149839.84354884093,28.791993350792016,24191.51442973726,-22555.22005587845,22556.22005587845
179,302336.11839708564,240.6696265825174,174444.6724115008,217862.14349822275,18755.297179558365,0.26656098729092004,397183.5322617926,0.30071228894722724,1171242.66089581,106312.5278875038,2661.7452875764234,11023.845805122155,150179.24016864185,9,199106.84631866438,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1996,Aug04v1,CONUS,-1,94,1996,-1,-1,-1,30413.762305433,174444.6724115008,240.6696265825174,150179.24016864185,-18754.297179558365,18755.297179558365
1297,298511.59600456624,0.0,162352.15018267123,217862.14349822275,17399.03807051674,0.26346008016396294,397183.5322617926,0.28956515566065244,1171242.66089581,106312.5278875038,2954.0549520721693,11900.11150412371,0.0,0,200463.10542770603,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1997,Aug04v1,CONUS,-1,94,1997,-1,-1,-1,27978.62528609122,162352.15018267123,0.0,0.0,-17398.03807051674,17399.03807051674
666,302805.7374429224,14.447891164342694,133315.43195821685,217862.14349822275,25311.192011246774,0.2647134692583764,397183.5322617926,0.2613096450421656,1171242.66089581,106312.5278875038,3610.431781523284,13153.380926530363,31640.8816499105,1,192550.951486976,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1998,Aug04v1,CONUS,-1,94,1998,-1,-1,-1,28289.022065871755,133315.43195821685,14.447891164342694,31640.8816499105,-25310.192011246774,25311.192011246774
1469,300332.9057077626,0.7283310641596422,175330.3200638255,217862.14349822275,14554.39445893682,0.26952310198963475,397183.5322617926,0.30253755292724566,1171242.66089581,106312.5278875038,2580.922034010595,13868.040195090343,1595.0450305096165,1,203307.74903928596,optimal,nYrs_20210220_SWBNG_DYrs94_Tested1999,Aug04v1,CONUS,-1,94,1999,-1,-1,-1,27926.256420197988,175330.3200638255,0.7283310641596422,1595.0450305096165,-14553.39445893682,14554.39445893682
