,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
3372,304130.30767259054,0,0.26738675910442933,758295.8867015083,0.2935090246896698,1547059.5784858896,2378268.837223069,optimal,nYrs_20210220_SWB_iter00332,Jan29v1,CONUS,4,94-12-12-16,-1,-1,-1,53456.00833254611,351894.89148256514,0.0,0.0,1.0,0.0
3207,303237.7257420091,0,0.26492044251179153,837029.1075217243,0.28778693170148634,2139981.6862070966,2170700.9052091017,optimal,nYrs_20210220_SWB_iter00334,Jan29v1,CONUS,4,94-14-03-05,-1,-1,-1,62582.389423921966,533939.0699231394,0.0,0.0,1.0,0.0
3350,303309.4561088296,0,0.2633991937753159,1393350.1903295747,0.2856451552538389,1153288.154177857,3880973.7870516106,optimal,nYrs_20210220_SWB_iter00114,Jan29v1,CONUS,4,94-15-85-00,-1,-1,-1,67599.35061855277,391383.2052055315,0.0,0.0,1.0,0.0
3432,304078.48807894136,0,0.26507465552079795,820852.9316830548,0.2808761312742283,1562550.4301116755,3002188.767890282,optimal,nYrs_20210220_SWB_iter00003,Jan29v1,CONUS,4,94-16-13-87,-1,-1,-1,59215.51771468959,351615.22238103894,0.0,0.0,1.0,0.0
3454,304466.09442733286,0,0.2633760261282683,1270179.819320995,0.2810245263051183,1461136.5187378412,3521753.678689829,optimal,nYrs_20210220_SWB_iter00403,Jan29v1,CONUS,4,94-18-00-81,-1,-1,-1,68061.73516412642,439209.28036730265,0.0,0.0,1.0,0.0
3193,305277.3981291353,0,0.264964994611406,604562.0659931517,0.2879638892196821,2307698.3835447584,1549993.7252063164,optimal,nYrs_20210220_SWB_iter00107,Jan29v1,CONUS,4,94-18-16-06,-1,-1,-1,57263.14659368121,519085.47920840903,0.0,0.0,1.0,0.0
3486,301199.1498573059,0,0.2635963534099331,820852.9316830548,0.2786917817352752,1562550.4301116755,3002188.767890282,optimal,nYrs_20210220_SWB_iter00225,Jan29v1,CONUS,4,94-90-17-87,-1,-1,-1,59215.517714689595,349461.08885394916,0.0,0.0,1.0,0.0
3317,299391.11892539356,0,0.2633306071349762,451827.60912668594,0.27382583788953835,2963449.7312059994,1880775.1725318106,optimal,nYrs_20210220_SWB_iter00117,Jan29v1,CONUS,4,94-90-89-92,-1,-1,-1,67925.94183247976,630735.3129057577,0.0,0.0,1.0,0.0
3534,298822.06346899224,0,0.2622891126297709,710819.0173841453,0.27157569411311255,1626898.1415749902,2562548.5570570524,optimal,nYrs_20210220_SWB_iter00358,Jan29v1,CONUS,4,94-92-04-98,-1,-1,-1,55385.223616854535,328614.38702138595,0.0,0.0,1.0,0.0
3556,302216.48692922376,0,0.26413773010696695,686023.6369821172,0.28048290520259817,1726085.0283197672,2468104.9976401366,optimal,nYrs_20210220_SWB_iter00125,Jan29v1,CONUS,4,94-93-17-98,-1,-1,-1,55911.08201310662,362441.0133908219,0.0,0.0,1.0,0.0
