Unnamed: 0,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
902,293797.0072859745,8.897759668236843,343188.70637948083,0,0.0,0.256852925294456,523849.8449524247,0.2574973631627926,1952456.962999524,1904329.033680045,2942.142369296194,104772.49219979887,19539.480231448102,1,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested1992,Aug04v1,CONUS,-1,94,1992,-1,-1,-1,53078.085107518964,343188.70637948083,8.897759668236843,19539.480231448102,1.0,0.0
1051,303858.7155251141,0.0,386683.9704211874,0,0.0,0.2629793135138621,523849.8449524247,0.2832842066866996,1952456.962999524,1904329.033680045,2868.5760858209346,43005.66036140438,0.0,0,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested1993,Aug04v1,CONUS,-1,94,1993,-1,-1,-1,52989.1075108366,386683.9704211874,0.0,0.0,1.0,0.0
1071,304597.7723744292,909.155128228393,379954.5323903498,0,0.0,0.263525301923036,523849.8449524247,0.2796362636824091,1952456.962999524,1904329.033680045,3430.405930763903,103755.26103996493,174853.95131485045,26,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested1995,Aug04v1,CONUS,-1,94,1995,-1,-1,-1,62080.65879312053,379954.5323903498,909.155128228393,174853.95131485045,1.0,0.0
578,302336.11839708564,818.6256593806561,424911.03338570055,0,0.0,0.26656098729092004,523849.8449524247,0.30071228894722724,1952456.962999524,1904329.033680045,3021.080558598624,137928.26021577706,332314.82652774884,12,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested1996,Aug04v1,CONUS,-1,94,1996,-1,-1,-1,61175.364104643166,424911.03338570055,818.6256593806561,332314.82652774884,1.0,0.0
1699,298511.59600456624,539.0107013795612,405133.4495633281,0,0.0,0.2634600801639629,523849.8449524247,0.28956515566065244,1952456.962999524,1904329.033680045,2427.035094232374,118901.1767844542,158289.05434616446,15,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested1997,Aug04v1,CONUS,-1,94,1997,-1,-1,-1,58379.21452463222,405133.4495633281,539.0107013795612,158289.05434616446,1.0,0.0
1045,302805.7374429224,716.7130997123262,346315.32497678965,0,0.0,0.2647134692583764,523849.8449524247,0.2613096450421656,1952456.962999524,1904329.033680045,4141.630932936647,127372.91027939855,130703.55974609144,26,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested1998,Aug04v1,CONUS,-1,94,1998,-1,-1,-1,60156.23850795986,346315.32497678965,716.7130997123262,130703.55974609144,1.0,0.0
205,300332.90570776263,447.42648638704384,431829.74856034026,0,0.0,0.26952310198963475,523849.8449524247,0.3025375529272457,1952456.962999524,1904329.033680045,1487.1058192549888,65268.753417931075,156665.18748428574,10,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested1999,Aug04v1,CONUS,-1,94,1999,-1,-1,-1,57463.37237470704,431829.74856034026,447.42648638704384,156665.18748428574,1.0,0.0
551,303179.88342440804,707.5860752774041,405471.869670304,0,0.0,0.26564944974459803,523849.8449524247,0.2914242709419804,1952456.962999524,1904329.033680045,1883.9374701382064,24897.881548994694,235056.1441686824,11,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2000,Aug04v1,CONUS,-1,94,2000,-1,-1,-1,60064.968263610644,405471.869670304,707.5860752774041,235056.1441686824,1.0,0.0
331,300386.0077625571,292.2243396087776,390082.67371302337,0,0.0,0.2665236620306841,523849.8449524247,0.28209007728539764,1952456.962999524,1904329.033680045,1885.5308504105665,103865.04717264533,198345.37558088306,8,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2001,Aug04v1,CONUS,-1,94,2001,-1,-1,-1,55911.35090692437,390082.67371302337,292.2243396087776,198345.37558088306,1.0,0.0
641,306273.04497716896,345.91912248965775,405265.9149333141,0,0.0,0.2699333133065723,523849.8449524247,0.2919699785137299,1952456.962999524,1904329.033680045,2421.583659490996,111259.80426197073,206593.15270562013,8,0.0,optimal,nYrs_20210220_SWB_DYrs94_Tested2002,Aug04v1,CONUS,-1,94,2002,-1,-1,-1,56448.29873573317,405265.9149333141,345.91912248965775,206593.15270562013,1.0,0.0
