Unnamed: 0,demand series,lost_load dispatch,main_node_curtailment dispatch,natgas capacity,natgas dispatch,solar series,solar capacity,wind series,wind capacity,storage capacity,storage dispatch,storage stored,to_PGP capacity,to_PGP dispatch,PGP_storage capacity,PGP_storage dispatch,PGP_storage stored,from_PGP capacity,from_PGP dispatch,lost_load max dispatch,lost_load num hours,natgas curtailment,status,name,date,region,n_years,opt_years,test_years,iter,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
915,300332.90570776263,0.0,89289.24304577746,0,0.0,0.26952310198963475,414846.64055313147,0.3025375529272457,987897.7919546028,289227.5661441207,7092.355151220134,92527.14283220046,66054.77668462595,27829.03199784166,134724009.09325358,27828.631941477714,35092663.57321896,232953.92373452405,19480.0423590344,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested1999,Aug04v1,CONUS,-1,7,1999,-1,-1,-1,40480.01809359138,89289.24304577746,0.0,0.0,1.0,0.0
379,303179.88342440804,83.89635181746877,72181.60922814532,0,0.0,0.26564944974459803,414846.64055313147,0.2914242709419804,987897.7919546028,289227.5661441207,7451.454348296411,90001.21429305851,66054.77668462595,30188.409620465933,134724009.09325358,30188.08509596097,28467061.87667611,232953.92373452405,21131.659567172683,72469.21804317902,8,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2000,Aug04v1,CONUS,-1,7,2000,-1,-1,-1,41318.985622760905,72181.60922814532,83.89635181746877,72469.21804317902,1.0,0.0
455,300386.0077625571,17.544814009691038,65394.877749024374,0,0.0,0.2665236620306841,414846.64055313147,0.28209007728539764,987897.7919546028,289227.5661441207,8063.0041012871325,91797.32144297002,66054.77668462595,30994.99134912127,134724009.09325358,30994.569683822232,36988184.19579601,232953.92373452405,21696.19877867556,38423.14268122338,1,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2001,Aug04v1,CONUS,-1,7,2001,-1,-1,-1,40655.47161580407,65394.877749024374,17.544814009691038,38423.14268122338,1.0,0.0
525,306273.04497716896,45.31870095343258,69759.61831776088,0,0.0,0.2699333133065723,414846.64055313147,0.2919699785137299,987897.7919546028,289227.5661441207,7713.104511995768,81530.5297954025,66054.77668462595,32353.45056047589,134724009.09325358,32352.93128319436,45550638.81523744,232953.92373452405,22647.051898236048,50983.54419615917,2,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2002,Aug04v1,CONUS,-1,7,2002,-1,-1,-1,40933.212794553816,69759.61831776088,45.31870095343258,50983.54419615917,1.0,0.0
880,301020.0848173516,0.0,57173.87225784129,0,0.0,0.26609755344689456,414846.64055313147,0.2770270805637365,987897.7919546028,289227.5661441207,8215.670275100194,91243.20339856463,66054.77668462595,34253.23426419623,134724009.09325358,34252.71091421537,45907893.14160035,232953.92373452405,23976.897639950763,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2003,Aug04v1,CONUS,-1,7,2003,-1,-1,-1,40480.029014648935,57173.87225784129,0.0,0.0,1.0,0.0
993,298534.8805783242,0.0,68380.64791565751,0,0.0,0.2630067437968984,414846.64055313147,0.2837104588029233,987897.7919546028,289227.5661441207,7587.5744543945475,94069.02833506053,66054.77668462595,29680.72487042229,134724009.09325358,29680.3902143596,29355795.02505137,232953.92373452405,20776.273150051722,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2004,Aug04v1,CONUS,-1,7,2004,-1,-1,-1,40480.021241515045,68380.64791565751,0.0,0.0,1.0,0.0
1448,306573.6784246576,5981.200336690461,57593.420580760714,0,0.0,0.263908294234211,414846.64055313147,0.2778754068242968,987897.7919546028,289227.5661441207,13583.057632204056,73482.47581214574,66054.77668462595,33349.83568856079,134724009.09325358,33349.42294475971,36205596.5854468,232953.92373452405,23344.596061331802,266621.6881507595,128,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2005,Aug04v1,CONUS,-1,7,2005,-1,-1,-1,100292.0308458534,57593.420580760714,5981.200336690461,266621.6881507595,1.0,0.0
1403,301608.1127853881,4055.9555271300533,79948.70001582507,0,0.0,0.2662303199285058,414846.64055313147,0.2915429601798564,987897.7919546028,289227.5661441207,7281.707348789046,74853.271357395,66054.77668462595,27654.551820899884,134724009.09325358,27654.099593398314,39669079.14235076,232953.92373452405,19357.869715378816,239863.45057040828,96,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2006,Aug04v1,CONUS,-1,7,2006,-1,-1,-1,81039.57306823909,79948.70001582507,4055.9555271300533,239863.45057040828,1.0,0.0
397,304088.1985428051,0.0,92132.801856535,0,0.0,0.2707288729496559,414846.64055313147,0.3112675948006041,987897.7919546028,289227.5661441207,8060.644276964859,87790.45110369593,66054.77668462595,31148.14602536473,134724009.09325358,31147.74485864485,35190063.21553562,232953.92373452405,21803.421401051397,0.0,0,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2008,Aug04v1,CONUS,-1,7,2008,-1,-1,-1,40480.023736084455,92132.801856535,0.0,0.0,1.0,0.0
1223,300992.27808219177,3.299727866549929,73612.0200947883,0,0.0,0.2671937081846535,414846.64055313147,0.2914569861661884,987897.7919546028,289227.5661441207,8215.877431255509,86618.52358216379,66054.77668462595,31924.06690329082,134724009.09325358,31923.601012112627,40867647.28870386,232953.92373452405,22346.52070847884,7226.4040277443455,1,0.0,optimal,nYrs_20210220_SWBPGP_DYrs7_Tested2009,Aug04v1,CONUS,-1,7,2009,-1,-1,-1,40513.02233377014,73612.0200947883,3.299727866549929,7226.4040277443455,1.0,0.0
