,demand series,natgas capacity,solar series,solar capacity,wind series,wind capacity,storage capacity,status,name,date,region,n_years,opt_years,test_years,end_test_year,scale_factor,syst_cost,curtailed_gen,lost_load,max_lost_load,decarbonization,co2_intensity
3782,302518.7890663017,265162.4361556555,0.26254880896248756,418936.3903491792,0.2793094545781741,1300385.842349989,82447.41425955597,optimal,nYrs_20210220_SWBNG_iter00083,Jan29v1,CONUS,15,10-08-84-87-03-81-82-20-92-91-90-98-84-82-05,-1,-1,-1,30625.492180476544,182056.0952076299,0.0,0.0,-15172.050000000074,15173.050000000074
3694,304135.8367402811,288088.8898558744,0.2632894402541497,422643.79224270536,0.28347413270627514,1285254.51704609,70219.56844646337,optimal,nYrs_20210220_SWBNG_iter00093,Jan29v1,CONUS,15,10-15-01-86-84-01-88-90-04-86-89-16-81-18-14,-1,-1,-1,30581.39146384974,186497.37550038032,0.0,0.0,-15172.049999999968,15173.049999999968
3757,303237.11697080295,264998.0651017712,0.26474182191802526,409029.06929622334,0.28854008152162747,1242545.609927443,87395.02835669277,optimal,nYrs_20210220_SWBNG_iter00061,Jan29v1,CONUS,15,10-90-14-92-99-97-99-80-10-01-01-83-04-08-00,-1,-1,-1,29588.114541631716,178607.60112448153,0.0,0.0,-15172.049999999957,15173.049999999957
3733,304097.9115191606,332150.60732021794,0.2654136103537588,421995.57200142764,0.29172130614249164,1211083.3386133444,136280.56792245907,optimal,nYrs_20210220_SWBNG_iter00050,Jan29v1,CONUS,15,10-96-02-19-94-09-00-84-13-99-93-14-84-88-01,-1,-1,-1,30318.414329017585,168568.35761983471,0.0,0.0,-15172.049999999992,15173.049999999992
3762,304246.68641631684,294099.74159819423,0.2669613526413698,414269.2523005536,0.29236769593851347,1238796.3439168727,53082.398658921666,optimal,nYrs_20210220_SWBNG_iter00081,Jan29v1,CONUS,15,11-08-00-14-13-03-09-80-89-88-07-17-79-99-97,-1,-1,-1,29649.24865487794,181166.09232097026,0.0,0.0,-15172.049999999972,15173.049999999972
3688,304112.89470761834,291164.6028367085,0.26487404707130147,414878.54080151627,0.2856722695956624,1265183.9387898052,59995.09666674689,optimal,nYrs_20210220_SWBNG_iter00122,Jan29v1,CONUS,15,11-92-17-98-83-02-93-08-16-89-85-98-07-94-14,-1,-1,-1,30101.445638264082,179492.72669514193,0.0,0.0,-15172.05000000001,15173.05000000001
3692,303593.6452135426,294010.8682928233,0.26530690901513204,403340.5394146043,0.28876025912051734,1245749.3423978218,52130.02707516774,optimal,nYrs_20210220_SWBNG_iter00120,Jan29v1,CONUS,15,11-94-91-19-16-08-84-99-92-93-95-99-02-89-85,-1,-1,-1,29590.848513587433,178221.41804402653,0.0,0.0,-15172.050000000021,15173.050000000021
3696,305183.23438545276,263388.5243196182,0.2652499752651039,416326.6185777828,0.2860049769896053,1238524.1747455678,95006.99087556425,optimal,nYrs_20210220_SWBNG_iter00034,Jan29v1,CONUS,15,12-01-16-80-93-80-03-02-83-06-98-00-85-16-11,-1,-1,-1,29671.36518474475,174441.35640568446,0.0,0.0,-15172.049999999965,15173.049999999965
3691,303965.6559875867,330032.1660967271,0.2655919564062864,439608.1173214084,0.28495784394830415,1225399.6781125397,142135.70292901946,optimal,nYrs_20210220_SWBNG_iter00017,Jan29v1,CONUS,15,12-05-98-02-97-90-13-96-86-80-94-03-05-95-11,-1,-1,-1,30829.64658092021,176419.15610248968,0.0,0.0,-15172.049999999856,15173.049999999856
3676,304129.86200765864,333205.41080019687,0.2666580713833672,428142.89665126713,0.2921872246161682,1178719.1206399733,137981.75443293486,optimal,nYrs_20210220_SWBNG_iter00130,Jan29v1,CONUS,15,12-06-96-07-20-08-80-01-94-16-00-93-00-12-85,-1,-1,-1,29914.791121580514,169336.85425732398,0.0,0.0,-15172.050000000012,15173.050000000012
3671,303794.4560759455,332674.6292617686,0.2662551896602119,429170.33432185365,0.29130304227555903,1188033.495432939,138401.03432123543,optimal,nYrs_20210220_SWBNG_iter00141,Jan29v1,CONUS,15,12-80-16-09-90-15-08-79-96-20-14-79-00-05-94,-1,-1,-1,30076.714476248275,171500.77717129586,0.0,0.0,-15172.049999999981,15173.049999999981
3684,305402.4366328952,329886.9611026644,0.2643838726663629,432189.6498537763,0.28262596450655003,1240973.63902957,139867.51349770304,optimal,nYrs_20210220_SWBNG_iter00095,Jan29v1,CONUS,15,13-11-13-87-10-80-87-79-17-84-19-96-91-81-15,-1,-1,-1,30950.889700695618,174012.96685519474,0.0,0.0,-15172.049999999808,15173.049999999808
3677,304469.1458751597,329581.1591338765,0.2655885324178126,447383.0966086874,0.2849957959155021,1228419.4545135684,143387.37818993756,optimal,nYrs_20210220_SWBNG_iter00094,Jan29v1,CONUS,15,13-90-86-96-98-06-80-10-02-98-06-17-96-13-80,-1,-1,-1,30997.64884636447,179387.38046386794,0.0,0.0,-15172.050000000081,15173.050000000081
3721,303559.59308494464,254979.78564565972,0.2644384328979527,411154.0038890178,0.28246915133120404,1250911.9380167422,107170.73117855488,optimal,nYrs_20210220_SWBNG_iter00030,Jan29v1,CONUS,15,13-97-18-80-18-20-92-95-82-04-03-20-87-84-08,-1,-1,-1,29796.958691426615,168892.2915241889,0.0,0.0,-15172.05000000002,15173.05000000002
3749,303863.9501246504,331224.51583826356,0.2651110133045954,436523.5272028538,0.28961330121194573,1205789.5729147517,140953.5004923364,optimal,nYrs_20210220_SWBNG_iter00035,Jan29v1,CONUS,15,14-00-87-00-88-97-06-95-15-82-12-96-20-02-16,-1,-1,-1,30473.661837560514,175956.04654572398,0.0,0.0,-15172.050000000101,15173.050000000101
3802,304826.64449869195,263232.2395808916,0.26608188596261223,412511.322055998,0.2879135745128887,1240333.30817345,95104.21053355442,optimal,nYrs_20210220_SWBNG_iter00056,Jan29v1,CONUS,15,14-79-09-20-12-98-13-05-93-85-02-18-83-00-20,-1,-1,-1,29642.971146092605,172726.30762525732,0.0,0.0,-15172.05000000002,15173.05000000002
3673,303692.69868869416,271604.2012864345,0.263731912796031,416423.8672951075,0.2871609828757599,1265876.1610303612,52607.60640590987,optimal,nYrs_20210220_SWBNG_iter00029,Jan29v1,CONUS,15,14-83-01-17-17-97-84-11-01-04-05-80-81-85-07,-1,-1,-1,29882.298149654467,184725.38136310017,0.0,0.0,-15172.04999999998,15173.04999999998
