Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,wind
2019,8,18,4,0.37606065667253913
2019,8,18,5,0.3749990545468161
2019,8,18,6,0.3671260606149692
2019,8,18,7,0.3392230077129782
2019,8,18,8,0.3144180191975792
2019,8,18,9,0.2953918786855249
2019,8,18,10,0.272539098779485
2019,8,18,11,0.2563812197967899
2019,8,18,12,0.24901779828375664
2019,8,18,13,0.24695305420752986
2019,8,18,14,0.249484176319379
2019,8,18,15,0.258816443627877
2019,8,18,16,0.294730690701289
2019,8,18,17,0.3393805094457966
2019,8,18,18,0.38449444787152515
2019,8,18,19,0.4285112063993318
2019,8,18,20,0.45697104017103046
2019,8,18,21,0.46957412919756353
2019,8,18,22,0.4731804326723808
2019,8,18,23,0.46639282201283555
2019,8,18,24,0.4529301439643044
2019,8,19,1,0.4311888457566492
2019,8,19,2,0.4030509249331291
2019,8,19,3,0.3736164503534589
2019,8,19,4,0.35438960703066963
2019,8,19,5,0.3466396219137941
2019,8,19,6,0.3085784704832881
2019,8,19,7,0.2806247040582829
2019,8,19,8,0.2596160864140033
2019,8,19,9,0.2302695070975153
2019,8,19,10,0.20130041701718074
2019,8,19,11,0.1809158524131824
2019,8,19,12,0.16954929801512184
2019,8,19,13,0.163903071488147
2019,8,19,14,0.1651909025349623
2019,8,19,15,0.17577405842619112
2019,8,19,16,0.22686611016994848
2019,8,19,17,0.285312279720062
2019,8,19,18,0.3294505849023405
2019,8,19,19,0.3595518678393094
2019,8,19,20,0.3770412718385564
2019,8,19,21,0.3858325370186557
2019,8,19,22,0.3850134701053899
2019,8,19,23,0.37791984268931994
2019,8,19,24,0.366855934473615
2019,8,20,1,0.3502932537953027
2019,8,20,2,0.33170526714756293
2019,8,20,3,0.314513991094634
2019,8,20,4,0.3076742183842318
2019,8,20,5,0.31333329834923274
2019,8,20,6,0.2824853908892148
2019,8,20,7,0.2551448743425796
2019,8,20,8,0.24066619152445745
2019,8,20,9,0.222220792620251
2019,8,20,10,0.19559256474123082
2019,8,20,11,0.17336004153009643
2019,8,20,12,0.1607382512534371
2019,8,20,13,0.15571212818203964
2019,8,20,14,0.15907151547026094
2019,8,20,15,0.17116998571076308
2019,8,20,16,0.20027810224359296
2019,8,20,17,0.22178973451896586
2019,8,20,18,0.24702579635352045
2019,8,20,19,0.27929054371495465
2019,8,20,20,0.3085467946523913
2019,8,20,21,0.33106524140807064
2019,8,20,22,0.3463527733681999
2019,8,20,23,0.359596823503522
2019,8,20,24,0.3647684784009595
2019,8,21,1,0.35978758882103506
2019,8,21,2,0.3485150065643977
2019,8,21,3,0.33638738283392366
2019,8,21,4,0.33680659163929655
2019,8,21,5,0.3412806379826084
2019,8,21,6,0.3450390141008776
2019,8,21,7,0.3064925372925945
2019,8,21,8,0.2944086642091369
2019,8,21,9,0.28090002216693016
2019,8,21,10,0.25160107100956897
2019,8,21,11,0.22608058362978126
2019,8,21,12,0.20956195083154425
2019,8,21,13,0.20222095442911686
2019,8,21,14,0.20342956255565528
2019,8,21,15,0.2133608097326156
2019,8,21,16,0.23994259076479835
2019,8,21,17,0.26528048433680324
2019,8,21,18,0.2905876188735473
2019,8,21,19,0.3233023375246097
2019,8,21,20,0.35813746696602217
2019,8,21,21,0.38484126650053746
2019,8,21,22,0.401748363238911
2019,8,21,23,0.4098587587406942
2019,8,21,24,0.4113551571282019
2019,8,22,1,0.4095858380793202
2019,8,22,2,0.4025828904532036
2019,8,22,3,0.39115578591670924
2019,8,22,4,0.3843873690151871
2019,8,22,5,0.3706860785496525
2019,8,22,6,0.3625785238433521
2019,8,22,7,0.33801315372054636
2019,8,22,8,0.3130715613076648
2019,8,22,9,0.3086837135732531
2019,8,22,10,0.2870956151669101
2019,8,22,11,0.2586597852197988
2019,8,22,12,0.23645535966156872
2019,8,22,13,0.2205361667047979
2019,8,22,14,0.2124170029947697
2019,8,22,15,0.21342362728641634
2019,8,22,16,0.24414544473100794
2019,8,22,17,0.2928291945386365
2019,8,22,18,0.3192632707380417
2019,8,22,19,0.3449263497115871
2019,8,22,20,0.3665318594038894
2019,8,22,21,0.3782823754443832
2019,8,22,22,0.38195903263258124
2019,8,22,23,0.3797375878596255
2019,8,22,24,0.3717578788464171
2019,8,23,1,0.35780260197137953
2019,8,23,2,0.3412777536225186
2019,8,23,3,0.3246921844078804
2019,8,23,4,0.32086782913809786
2019,8,23,5,0.316642621163392
2019,8,23,6,0.3148059123624081
2019,8,23,7,0.3016556164508788
2019,8,23,8,0.2840340104480415
2019,8,23,9,0.27334826358686143
2019,8,23,10,0.2521214378451239
2019,8,23,11,0.23251435274967772
2019,8,23,12,0.2199719386955889
2019,8,23,13,0.21330927486170487
2019,8,23,14,0.21237788975787436
2019,8,23,15,0.21909610655629833
2019,8,23,16,0.25649892874683744
2019,8,23,17,0.30644410692359986
2019,8,23,18,0.33582670981649454
2019,8,23,19,0.3606611833761194
2019,8,23,20,0.37543596916739924
2019,8,23,21,0.3794258877973722
2019,8,23,22,0.37836022807978703
2019,8,23,23,0.3692222033938435
2019,8,23,24,0.3553244185326789
2019,8,24,1,0.33924268115447703
2019,8,24,2,0.32586628483522934
2019,8,24,3,0.31702899369975013
2019,8,24,4,0.3191555844917512
2019,8,24,5,0.3188307626303846
2019,8,24,6,0.30055297823934785
2019,8,24,7,0.2651865715192431
2019,8,24,8,0.2594599664626188
2019,8,24,9,0.2632934357111327
2019,8,24,10,0.2507690782649832
2019,8,24,11,0.23856564644876863
2019,8,24,12,0.23199298780076175
2019,8,24,13,0.2297920295139967
2019,8,24,14,0.23298536608866244
2019,8,24,15,0.2427561454022794
2019,8,24,16,0.28194128330591656
2019,8,24,17,0.33581247796220604
2019,8,24,18,0.3679230248154557
2019,8,24,19,0.39205855435732206
2019,8,24,20,0.4032482738268262
2019,8,24,21,0.40623321223291586
2019,8,24,22,0.4010485234446747
2019,8,24,23,0.38929581037040323
2019,8,24,24,0.37258802378550576
2019,8,25,1,0.34838946734310244
2019,8,25,2,0.32372244570534314
2019,8,25,3,0.3012895055711498
2019,8,25,4,0.29453098700459773
2019,8,25,5,0.30021114032562946
2019,8,25,6,0.27742094079609164
2019,8,25,7,0.2486659844006698
2019,8,25,8,0.24122742190508759
2019,8,25,9,0.23826397090291726
2019,8,25,10,0.23128695242720393
2019,8,25,11,0.22576484090476034
2019,8,25,12,0.2234082444544915
2019,8,25,13,0.22359179929866096
2019,8,25,14,0.2286837869002324
2019,8,25,15,0.2380766329119308
2019,8,25,16,0.2678031553787873
2019,8,25,17,0.31112269809458376
2019,8,25,18,0.3429187802529103
2019,8,25,19,0.35974014235590146
2019,8,25,20,0.3662286738210345
2019,8,25,21,0.36332749267259884
2019,8,25,22,0.35489955803587386
2019,8,25,23,0.3425637710769743
2019,8,25,24,0.3312747608970658
2019,8,26,1,0.320533413484468
2019,8,26,2,0.3063918979063341
2019,8,26,3,0.28903808634043066
2019,8,26,4,0.28215700660650533
2019,8,26,5,0.27451231226411354
2019,8,26,6,0.2500171208318787
2019,8,26,7,0.23598487549389272
2019,8,26,8,0.2236058310530603
2019,8,26,9,0.21821311454714812
2019,8,26,10,0.21430983632006187
2019,8,26,11,0.21342785297916803
2019,8,26,12,0.21598744495369313
2019,8,26,13,0.21919133650408623
2019,8,26,14,0.2246251474167783
2019,8,26,15,0.23192405088060442
2019,8,26,16,0.2685986199918011
2019,8,26,17,0.3234696707377791
2019,8,26,18,0.3560434855487403
2019,8,26,19,0.378578701518155
2019,8,26,20,0.387901453450989
2019,8,26,21,0.3869245577971868
2019,8,26,22,0.37569918663926627
2019,8,26,23,0.3599516578502805
2019,8,26,24,0.3470455185753816
2019,8,27,1,0.33154628984851237
2019,8,27,2,0.31366798592628725
2019,8,27,3,0.2953361939750763
2019,8,27,4,0.2851121169396397
2019,8,27,5,0.26578485076519776
2019,8,27,6,0.2342027634778284
2019,8,27,7,0.22795085254230582
2019,8,27,8,0.2167215806588559
2019,8,27,9,0.20038891978183387
2019,8,27,10,0.19091371900063778
2019,8,27,11,0.18734746091917043
2019,8,27,12,0.18762251575542754
2019,8,27,13,0.19171353141266553
2019,8,27,14,0.1995771807120487
2019,8,27,15,0.21263305444107847
2019,8,27,16,0.2591892525060823
2019,8,27,17,0.3382511751668337
2019,8,27,18,0.38956156261695213
2019,8,27,19,0.4230227633642306
2019,8,27,20,0.43682115243559555
2019,8,27,21,0.43445435627325396
2019,8,27,22,0.4164740847183356
2019,8,27,23,0.3911648708957586
2019,8,27,24,0.3654513473107198
2019,8,28,1,0.3427978400551045
2019,8,28,2,0.3223959696402914
2019,8,28,3,0.30243684936427717
2019,8,28,4,0.2946131343075468
2019,8,28,5,0.2824278939291276
2019,8,28,6,0.24072342263863883
2019,8,28,7,0.22752169227065433
2019,8,28,8,0.21353121836290784
2019,8,28,9,0.1949388633506377
2019,8,28,10,0.18001507290566104
2019,8,28,11,0.16963812381703242
2019,8,28,12,0.165696893207281
2019,8,28,13,0.1666253329492133
2019,8,28,14,0.17261540284952162
2019,8,28,15,0.18460920860771388
2019,8,28,16,0.22310584406476577
2019,8,28,17,0.295679508647032
2019,8,28,18,0.3616105169620829
2019,8,28,19,0.4100878086986495
