Capacity data calculated from MERRA-2,,,,
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,solar
2019,1,12,6,0.5003930445823834
2019,1,12,7,0.7042042873121374
2019,1,12,8,0.7938383844411541
2019,1,12,9,0.8102512144289438
2019,1,12,10,0.8032987979717442
2019,1,12,11,0.792305261876618
2019,1,12,12,0.7791422734739091
2019,1,12,13,0.7561929546338377
2019,1,12,14,0.6936696302879533
2019,1,12,15,0.5494616064228183
2019,1,12,16,0.33570881167081745
2019,1,12,17,0.16621823920959128
2019,1,12,18,0.00356938166433592
2019,1,12,19,0.0
2019,1,12,20,0.0
2019,1,12,21,0.0
2019,1,12,22,0.0
2019,1,12,23,0.0
2019,1,12,24,0.0
2019,1,13,1,0.0
2019,1,13,2,0.0
2019,1,13,3,0.0
2019,1,13,4,0.014536533533625965
2019,1,13,5,0.20580972907177802
2019,1,13,6,0.46839606733425343
2019,1,13,7,0.6434818571227726
2019,1,13,8,0.7546902461042786
2019,1,13,9,0.7812176349568841
2019,1,13,10,0.7801543661693655
2019,1,13,11,0.772513033984582
2019,1,13,12,0.7629381284408774
2019,1,13,13,0.7411519378289657
2019,1,13,14,0.6772913590864651
2019,1,13,15,0.5073556542048515
2019,1,13,16,0.326384354371386
2019,1,13,17,0.15058173298631783
2019,1,13,18,0.0036729408891544757
2019,1,13,19,0.0
2019,1,13,20,0.0
2019,1,13,21,0.0
2019,1,13,22,0.0
2019,1,13,23,0.0
2019,1,13,24,0.0
2019,1,14,1,0.0
2019,1,14,2,0.0
2019,1,14,3,0.0
2019,1,14,4,0.014101629033018663
2019,1,14,5,0.1933701242406973
2019,1,14,6,0.45251917113203755
2019,1,14,7,0.6594632854678066
2019,1,14,8,0.7559200482109687
2019,1,14,9,0.7737867710289821
2019,1,14,10,0.7680527053049203
2019,1,14,11,0.758605254705906
2019,1,14,12,0.7436391278682049
2019,1,14,13,0.7162429829134309
2019,1,14,14,0.6424986062441388
2019,1,14,15,0.47336716438147
2019,1,14,16,0.28891066585813796
2019,1,14,17,0.12145111520854096
2019,1,14,18,0.003446938411531574
2019,1,14,19,0.0
2019,1,14,20,0.0
2019,1,14,21,0.0
2019,1,14,22,0.0
2019,1,14,23,0.0
2019,1,14,24,0.0
2019,1,15,1,0.0
2019,1,15,2,0.0
2019,1,15,3,0.0
2019,1,15,4,0.012398610579756055
2019,1,15,5,0.17491115198143486
2019,1,15,6,0.4174730696982197
2019,1,15,7,0.6262074974172264
2019,1,15,8,0.7241170065143165
2019,1,15,9,0.7443909434335646
2019,1,15,10,0.7424390789235943
2019,1,15,11,0.7355385171919286
2019,1,15,12,0.7226675962173248
2019,1,15,13,0.6944546862682446
2019,1,15,14,0.6253302094469109
2019,1,15,15,0.4831752919049359
2019,1,15,16,0.29293740651104017
2019,1,15,17,0.11757259904117626
2019,1,15,18,0.0031012580403395884
2019,1,15,19,0.0
2019,1,15,20,0.0
2019,1,15,21,0.0
2019,1,15,22,0.0
2019,1,15,23,0.0
2019,1,15,24,0.0
2019,1,16,1,0.0
2019,1,16,2,0.0
2019,1,16,3,0.0
2019,1,16,4,0.0138899498136836
2019,1,16,5,0.20103686077646213
2019,1,16,6,0.453966195076207
2019,1,16,7,0.672395598633471
2019,1,16,8,0.7711161281794553
2019,1,16,9,0.7917950581769903
2019,1,16,10,0.7889884936301034
2019,1,16,11,0.7787864027153888
2019,1,16,12,0.7659351528438131
2019,1,16,13,0.7425556741054588
2019,1,16,14,0.6760374841053577
2019,1,16,15,0.5431737670182949
2019,1,16,16,0.3290267652088946
2019,1,16,17,0.13585821416950447
2019,1,16,18,0.0031813031530701437
2019,1,16,19,0.0
2019,1,16,20,0.0
2019,1,16,21,0.0
2019,1,16,22,0.0
2019,1,16,23,0.0
2019,1,16,24,0.0
2019,1,17,1,0.0
2019,1,17,2,0.0
2019,1,17,3,0.0
2019,1,17,4,0.014536774800884722
2019,1,17,5,0.2234531288566062
2019,1,17,6,0.48626775447852877
2019,1,17,7,0.703109426495843
2019,1,17,8,0.7962900037221071
2019,1,17,9,0.8121609583262168
2019,1,17,10,0.8063291947459903
2019,1,17,11,0.7979649043774062
2019,1,17,12,0.7892472163999817
2019,1,17,13,0.7706504016771638
2019,1,17,14,0.7121775533188878
2019,1,17,15,0.5478249537870086
2019,1,17,16,0.34185793338012094
2019,1,17,17,0.14274337058789832
2019,1,17,18,0.003094743393624552
2019,1,17,19,0.0
2019,1,17,20,0.0
2019,1,17,21,0.0
2019,1,17,22,0.0
2019,1,17,23,0.0
2019,1,17,24,0.0
2019,1,18,1,0.0
2019,1,18,2,0.0
2019,1,18,3,0.0
2019,1,18,4,0.013617421661303574
2019,1,18,5,0.22476419982225052
2019,1,18,6,0.49331465330679025
2019,1,18,7,0.6955392635588092
2019,1,18,8,0.7893505249687728
2019,1,18,9,0.8049741713320159
2019,1,18,10,0.7997577074965833
2019,1,18,11,0.7892965551653535
2019,1,18,12,0.7763189215802445
2019,1,18,13,0.7532018772833907
2019,1,18,14,0.6910722272550586
2019,1,18,15,0.5230305597946033
2019,1,18,16,0.31708377285306705
2019,1,18,17,0.1304383906623828
2019,1,18,18,0.0024195361738644666
2019,1,18,19,0.0
2019,1,18,20,0.0
2019,1,18,21,0.0
2019,1,18,22,0.0
2019,1,18,23,0.0
2019,1,18,24,0.0
2019,1,19,1,0.0
2019,1,19,2,0.0
2019,1,19,3,0.0
2019,1,19,4,0.012287214163115474
2019,1,19,5,0.2168099023417227
2019,1,19,6,0.5004343372673243
2019,1,19,7,0.6915067582912322
2019,1,19,8,0.7724164793027865
2019,1,19,9,0.793704600522771
2019,1,19,10,0.7948942319903158
2019,1,19,11,0.7886137005629859
2019,1,19,12,0.7790978550617088
2019,1,19,13,0.757531277897274
2019,1,19,14,0.6960198958530814
2019,1,19,15,0.5292224384793748
2019,1,19,16,0.31920949569011287
2019,1,19,17,0.148581620826272
2019,1,19,18,0.001195148430380284
2019,1,19,19,0.0
2019,1,19,20,0.0
2019,1,19,21,0.0
2019,1,19,22,0.0
2019,1,19,23,0.0
2019,1,19,24,0.0
2019,1,20,1,0.0
2019,1,20,2,0.0
2019,1,20,3,0.0
2019,1,20,4,0.013886654121326227
2019,1,20,5,0.20913425435727967
2019,1,20,6,0.4962062608999961
2019,1,20,7,0.6895652945003863
2019,1,20,8,0.7812411594135901
2019,1,20,9,0.8078730306974239
2019,1,20,10,0.8097969566794881
2019,1,20,11,0.8032206108402817
2019,1,20,12,0.7955461988484063
2019,1,20,13,0.7788508435774636
2019,1,20,14,0.7240835235545313
2019,1,20,15,0.5609950293649397
2019,1,20,16,0.3481463825073055
2019,1,20,17,0.15072737716874293
2019,1,20,18,0.0009042878519150569
2019,1,20,19,0.0
2019,1,20,20,0.0
2019,1,20,21,0.0
2019,1,20,22,0.0
2019,1,20,23,0.0
2019,1,20,24,0.0
2019,1,21,1,0.0
2019,1,21,2,0.0
2019,1,21,3,0.0
2019,1,21,4,0.013175436171097888
2019,1,21,5,0.22514825879818146
2019,1,21,6,0.514279253355734
2019,1,21,7,0.7027310258053077
2019,1,21,8,0.7916898561932949
2019,1,21,9,0.8098107809383888
2019,1,21,10,0.8054298260855169
2019,1,21,11,0.7973125388380082
2019,1,21,12,0.7873517153406633
2019,1,21,13,0.7680150037128287
2019,1,21,14,0.7070184267876319
2019,1,21,15,0.5508086683479662
2019,1,21,16,0.3403424589585184
2019,1,21,17,0.12881782624120539
2019,1,21,18,0.0008262555816601019
2019,1,21,19,0.0
2019,1,21,20,0.0
2019,1,21,21,0.0
2019,1,21,22,0.0
2019,1,21,23,0.0
2019,1,21,24,0.0
2019,1,22,1,0.0
2019,1,22,2,0.0
2019,1,22,3,0.0
2019,1,22,4,0.010957483743604392
2019,1,22,5,0.20861499303510123
2019,1,22,6,0.5104994396377291
2019,1,22,7,0.6963339833618453
2019,1,22,8,0.7839127784291474
2019,1,22,9,0.8038634949984773
2019,1,22,10,0.8014337472363646
2019,1,22,11,0.7932574858117376
2019,1,22,12,0.7832274186641643
2019,1,22,13,0.7648538809442524
2019,1,22,14,0.7051107742263747
2019,1,22,15,0.5532577865632964
2019,1,22,16,0.33928386709755604
2019,1,22,17,0.13958981306624485
2019,1,22,18,0.0006280765422785459
2019,1,22,19,0.0
2019,1,22,20,0.0
2019,1,22,21,0.0
2019,1,22,22,0.0
2019,1,22,23,0.0
2019,1,22,24,0.0
2019,1,23,1,0.0
2019,1,23,2,0.0
2019,1,23,3,0.0
2019,1,23,4,0.01231768080629752
2019,1,23,5,0.20817138039628064
2019,1,23,6,0.508051149175029
2019,1,23,7,0.6865498083086689
2019,1,23,8,0.7941607125757781
2019,1,23,9,0.8123176455984294
2019,1,23,10,0.8078303882642581
2019,1,23,11,0.8002676628961582
2019,1,23,12,0.7922994230583829
2019,1,23,13,0.7736688092008998
2019,1,23,14,0.7157702863155332
2019,1,23,15,0.5724370502029512
2019,1,23,16,0.3647099916565163
2019,1,23,17,0.15318471447383966
2019,1,23,18,0.0004132381059404214
2019,1,23,19,0.0
2019,1,23,20,0.0
2019,1,23,21,0.0
2019,1,23,22,0.0
2019,1,23,23,0.0
2019,1,23,24,0.0
2019,1,24,1,0.0
2019,1,24,2,0.0
2019,1,24,3,0.0
2019,1,24,4,0.014165609242100865
2019,1,24,5,0.2240711029001248
2019,1,24,6,0.5271557071639351
2019,1,24,7,0.7006650063081358
2019,1,24,8,0.7928224628674599
2019,1,24,9,0.8122310037089496
2019,1,24,10,0.8095122718269924
2019,1,24,11,0.8027325703856694
2019,1,24,12,0.7957891192701426
2019,1,24,13,0.7806741705433463
2019,1,24,14,0.7253941638317153
2019,1,24,15,0.5739303130571554
2019,1,24,16,0.37126645893459903
2019,1,24,17,0.1572967514899881
2019,1,24,18,0.00028035220077448893
2019,1,24,19,0.0
2019,1,24,20,0.0
2019,1,24,21,0.0
2019,1,24,22,0.0
2019,1,24,23,0.0
2019,1,24,24,0.0
2019,1,25,1,0.0
2019,1,25,2,0.0
2019,1,25,3,0.0
2019,1,25,4,0.014739347284537354
2019,1,25,5,0.2188319245989944
2019,1,25,6,0.5130593744230364
2019,1,25,7,0.7114250377144855
2019,1,25,8,0.7887282408551336
2019,1,25,9,0.8084131637535754
2019,1,25,10,0.809232242651204
2019,1,25,11,0.8036451006136713
2019,1,25,12,0.7963013388114929
2019,1,25,13,0.780879378055796
2019,1,25,14,0.7207715811212626
2019,1,25,15,0.5593487523257297
2019,1,25,16,0.34037295472631757
2019,1,25,17,0.13031130627216858
2019,1,25,18,0.00014655109039552028
2019,1,25,19,0.0
2019,1,25,20,0.0
2019,1,25,21,0.0
2019,1,25,22,0.0
2019,1,25,23,0.0
2019,1,25,24,0.0
2019,1,26,1,0.0
2019,1,26,2,0.0
2019,1,26,3,0.0
2019,1,26,4,0.013455480772134296
2019,1,26,5,0.20470863911884757
2019,1,26,6,0.4766682584263721
2019,1,26,7,0.6687942124211425
2019,1,26,8,0.7662639198235507
2019,1,26,9,0.7934326369464861
2019,1,26,10,0.7914731752480761
2019,1,26,11,0.7839015548826422
2019,1,26,12,0.7734322274047923
2019,1,26,13,0.7489959628518539
2019,1,26,14,0.6804369550473658
2019,1,26,15,0.5195393592692028
2019,1,26,16,0.32386186872526423
2019,1,26,17,0.1361993576340868
2019,1,26,18,0.00015003290276666644
2019,1,26,19,0.0
2019,1,26,20,0.0
2019,1,26,21,0.0
2019,1,26,22,0.0
2019,1,26,23,0.0
2019,1,26,24,0.0
2019,1,27,1,0.0
2019,1,27,2,0.0
2019,1,27,3,0.0
2019,1,27,4,0.016831238183255652
2019,1,27,5,0.1956833343533877
2019,1,27,6,0.46076215725448183
2019,1,27,7,0.6537015709329556
2019,1,27,8,0.7604554722418392
2019,1,27,9,0.7879230560122856
2019,1,27,10,0.7876957205707383
2019,1,27,11,0.7803253497784859
2019,1,27,12,0.7673075165791836
2019,1,27,13,0.7422995353043051
2019,1,27,14,0.6724038512444575
2019,1,27,15,0.5124574422848495
2019,1,27,16,0.32097382871571256
2019,1,27,17,0.13279009834778047
2019,1,27,18,0.00011410736826702856
2019,1,27,19,0.0
2019,1,27,20,0.0
2019,1,27,21,0.0
2019,1,27,22,0.0
2019,1,27,23,0.0
2019,1,27,24,0.0
2019,1,28,1,0.0
2019,1,28,2,0.0
2019,1,28,3,0.0
2019,1,28,4,0.017131126405194427
2019,1,28,5,0.21081984347259766
2019,1,28,6,0.4760704677182924
2019,1,28,7,0.6866338352832977
2019,1,28,8,0.7845438222296605
2019,1,28,9,0.8080562613771057
2019,1,28,10,0.8051206212744204
2019,1,28,11,0.7969078564511796
2019,1,28,12,0.7885296445137207
2019,1,28,13,0.7700509697874954
2019,1,28,14,0.7039108781645952
2019,1,28,15,0.5441715011739734
2019,1,28,16,0.3386047060389343
2019,1,28,17,0.13308262485884645
2019,1,28,18,0.0001219217398102856
2019,1,28,19,0.0
2019,1,28,20,0.0
2019,1,28,21,0.0
2019,1,28,22,0.0
2019,1,28,23,0.0
2019,1,28,24,0.0
2019,1,29,1,0.0
2019,1,29,2,0.0
2019,1,29,3,0.0
2019,1,29,4,0.017255059697781565
2019,1,29,5,0.211111978422352
2019,1,29,6,0.4711827727921694
2019,1,29,7,0.6802881162883948
2019,1,29,8,0.7798317722135789
2019,1,29,9,0.8039167754838782
2019,1,29,10,0.8029011930294861
2019,1,29,11,0.7952087367308063
2019,1,29,12,0.7859016825480065
2019,1,29,13,0.7646928152607719
2019,1,29,14,0.6906827716740517
2019,1,29,15,0.5240763237046132
2019,1,29,16,0.32725416509813904
2019,1,29,17,0.12198434254421461
2019,1,29,18,9.257134165534984e-05
2019,1,29,19,0.0
2019,1,29,20,0.0
2019,1,29,21,0.0
2019,1,29,22,0.0
2019,1,29,23,0.0
2019,1,29,24,0.0
2019,1,30,1,0.0
2019,1,30,2,0.0
2019,1,30,3,0.0
2019,1,30,4,0.017860612610355403
2019,1,30,5,0.22942516068246066
2019,1,30,6,0.4843777997974831
2019,1,30,7,0.7032477180636136
2019,1,30,8,0.8012595794695386
2019,1,30,9,0.8208299998931801
2019,1,30,10,0.8176704009303912
2019,1,30,11,0.8085832885992866
2019,1,30,12,0.796334320134141
2019,1,30,13,0.7707776338480206
2019,1,30,14,0.6950328865710121
2019,1,30,15,0.5354330436426613
2019,1,30,16,0.3297246087808873
2019,1,30,17,0.12326634751565024
2019,1,30,18,7.409104048157119e-05
2019,1,30,19,0.0
2019,1,30,20,0.0
2019,1,30,21,0.0
2019,1,30,22,0.0
2019,1,30,23,0.0
2019,1,30,24,0.0
2019,1,31,1,0.0
2019,1,31,2,0.0
2019,1,31,3,0.0
2019,1,31,4,0.016089621277038234
2019,1,31,5,0.22096092781517412
2019,1,31,6,0.4791434918155339
2019,1,31,7,0.6949984442275093
2019,1,31,8,0.7872696535018375
2019,1,31,9,0.8115562714955887
2019,1,31,10,0.8092837932833161
2019,1,31,11,0.8019997624069439
2019,1,31,12,0.7926796841600159
2019,1,31,13,0.7687965205544907
2019,1,31,14,0.6962633598497565
2019,1,31,15,0.5282956400521447
2019,1,31,16,0.3114806600821013
2019,1,31,17,0.1094371371616076
2019,1,31,18,6.226826469366572e-05
2019,1,31,19,0.0
2019,1,31,20,0.0
2019,1,31,21,0.0
2019,1,31,22,0.0
2019,1,31,23,0.0
2019,1,31,24,0.0
2019,2,1,1,0.0
2019,2,1,2,0.0
2019,2,1,3,0.0
2019,2,1,4,0.018640134344696867
2019,2,1,5,0.21713173966438418
2019,2,1,6,0.4726828045876766
2019,2,1,7,0.6916889983646755
2019,2,1,8,0.7873672690617113
2019,2,1,9,0.8107818312248047
2019,2,1,10,0.8074183921622519
2019,2,1,11,0.7959528825620013
2019,2,1,12,0.7841187828610051
2019,2,1,13,0.7603750945081518
2019,2,1,14,0.6902965364291738
2019,2,1,15,0.5184652866448554
2019,2,1,16,0.2947674485689019
2019,2,1,17,0.08527885698678421
2019,2,1,18,4.894700222843801e-05
