BEGIN_DATA,,,,
Year,Month,Day,Hour,wind 25% top
2017,3,6,16,0.9024955940000285
2017,3,6,20,0.9619577022500285
2017,3,6,24,0.9859610777500284
2017,3,7,4,0.9784619755000283
2017,3,7,8,0.9590424005000284
2017,3,7,12,0.8726743267500283
2017,3,7,16,0.7284899750000284
2017,3,7,20,0.7657195042500285
2017,3,7,24,0.7198168027500286
2017,3,8,4,0.7972996475000285
2017,3,8,8,0.7830317177500284
2017,3,8,12,0.6852328305000284
2017,3,8,16,0.5105833200000283
2017,3,8,20,0.4721183190000282
2017,3,8,24,0.3878332500000282
2017,3,9,4,0.5178363980000282
2017,3,9,8,0.5436841685000281
2017,3,9,12,0.45655308550002804
2017,3,9,16,0.31324958025002797
2017,3,9,20,0.277096313750028
2017,3,9,24,0.40295291800002797
2017,3,10,4,0.6073919065000282
2017,3,10,8,0.540332646750028
2017,3,10,12,0.482194292500028
2017,3,10,16,0.392973702000028
2017,3,10,20,0.260766272500028
2017,3,10,24,0.20870765900002797
2017,3,11,4,0.346101243250028
2017,3,11,8,0.25638450150002795
2017,3,11,12,0.17892446650002794
2017,3,11,16,0.10946381200002794
2017,3,11,20,0.08813499100002792
2017,3,11,24,0.16090665800002793
2017,3,12,4,0.3120722290000279
2017,3,12,8,0.34484845475002784
2017,3,12,12,0.35333338175002793
2017,3,12,16,0.4230851780000279
2017,3,12,20,0.5506039297500279
2017,3,12,24,0.5585382542500279
2017,3,13,4,0.5397609437500279
2017,3,13,8,0.46305806600002797
2017,3,13,12,0.449504030250028
2017,3,13,16,0.452206854000028
2017,3,13,20,0.35314652225002807
2017,3,13,24,0.28231924650002804
2017,3,14,4,0.3495974777500279
2017,3,14,8,0.337279898750028
2017,3,14,12,0.30028416200002794
2017,3,14,16,0.21684239050002796
2017,3,14,20,0.13584813800002798
2017,3,14,24,0.13637937625002797
2017,3,15,4,0.41201290750002795
2017,3,15,8,0.3865458307500279
2017,3,15,12,0.3683323730000279
2017,3,15,16,0.3059992537500279
2017,3,15,20,0.2296564815000279
2017,3,15,24,0.23158742525002785
2017,3,16,4,0.6429091042500278
2017,3,16,8,0.6644836882500278
2017,3,16,12,0.593120177000028
2017,3,16,16,0.48973783725002795
2017,3,16,20,0.5989219497500279
2017,3,16,24,0.691912893250028
2017,3,17,4,0.8260621017500281
2017,3,17,8,0.8106687375000281
2017,3,17,12,0.7276828055000282
2017,3,17,16,0.48614422725002804
2017,3,17,20,0.4798454890000281
2017,3,17,24,0.455120216750028
2017,3,18,4,0.742188490750028
2017,3,18,8,0.6469326675000281
2017,3,18,12,0.47574471275002816
2017,3,18,16,0.2916216040000282
2017,3,18,20,0.25569910175002813
2017,3,18,24,0.3418367832500282
2017,3,19,4,0.8243035182500282
2017,3,19,8,0.9050975110000286
2017,3,19,12,0.8272253230000285
2017,3,19,16,0.6338778380000286
2017,3,19,20,0.6282141760000286
2017,3,19,24,0.5404430665000287
2017,3,20,4,0.7200275905000288
2017,3,20,8,0.6938591737500289
2017,3,20,12,0.6062085390000289
2017,3,20,16,0.3528109812500289
2017,3,20,20,0.26002548500002887
2017,3,20,24,0.3074014230000288
2017,3,21,4,0.6822057485000288
2017,3,21,8,0.5966292157500287
2017,3,21,12,0.46145767325002873
2017,3,21,16,0.38279393325002875
2017,3,21,20,0.3436895080000288
2017,3,21,24,0.3939961817500288
2017,3,22,4,0.6149433780000289
2017,3,22,8,0.547510029750029
2017,3,22,12,0.4836388817500288
2017,3,22,16,0.4737027885000287
2017,3,22,20,0.46838740100002874
2017,3,22,24,0.5525321840000288
2017,3,23,4,0.7270982982500288
2017,3,23,8,0.6940120785000288
2017,3,23,12,0.6377559385000289
2017,3,23,16,0.6166547835000289
2017,3,23,20,0.6723192760000288
2017,3,23,24,0.6468214750000287
2017,3,24,4,0.7185084177500285
2017,3,24,8,0.6786077547500287
2017,3,24,12,0.6086244682500288
2017,3,24,16,0.5390051262500288
2017,3,24,20,0.5625080822500288
2017,3,24,24,0.5401026987500288
2017,3,25,4,0.668465987750029
2017,3,25,8,0.627106018000029
2017,3,25,12,0.589199510500029
2017,3,25,16,0.46053883050002886
2017,3,25,20,0.29284213450002883
2017,3,25,24,0.1959782807500289
2017,3,26,4,0.4030373257500288
2017,3,26,8,0.3756419882500287
2017,3,26,12,0.29233832500002876
2017,3,26,16,0.21929320850002876
2017,3,26,20,0.21887249575002882
2017,3,26,24,0.20694978625002883
2017,3,27,4,0.2632682795000289
2017,3,27,8,0.2602317575000289
2017,3,27,12,0.22674226900002895
2017,3,27,16,0.12442785000002896
2017,3,27,20,0.04855470750002898
2017,3,27,24,0.07393537925002897
2017,3,28,4,0.414141295000029
2017,3,28,8,0.4023024527500289
2017,3,28,12,0.2852178767500289
2017,3,28,16,0.23359938525002893
2017,3,28,20,0.28888190950002895
2017,3,28,24,0.3163037265000289
2017,3,29,4,0.41400618100002895
2017,3,29,8,0.44420554300002896
2017,3,29,12,0.45646578975002894
2017,3,29,16,0.4268145505000289
2017,3,29,20,0.559057066750029
2017,3,29,24,0.6014142077500291
2017,3,30,4,0.599289242250029
2017,3,30,8,0.603351949250029
2017,3,30,12,0.600495502750029
2017,3,30,16,0.41046263175002917
2017,3,30,20,0.3235628025000293
2017,3,30,24,0.24483471450002925
2017,3,31,4,0.43343006250002925
2017,3,31,8,0.4082553562500292
2017,3,31,12,0.2718994155000292
2017,3,31,16,0.18464940700002921
2017,3,31,20,0.24043125325002923
2017,3,31,24,0.2989578100000292
2017,4,1,4,0.37376157200002913
2017,4,1,8,0.3017782915000291
2017,4,1,12,0.2575383360000291
2017,4,1,16,0.20941107350002913
2017,4,1,20,0.1689686227500291
2017,4,1,24,0.16628832125002915
2017,4,2,4,0.4308022757500291
2017,4,2,8,0.5111628625000292
2017,4,2,12,0.429276817000029
2017,4,2,16,0.274900687750029
2017,4,2,20,0.283824942500029
2017,4,2,24,0.2116805870000289
2017,4,3,4,0.2835310947500289
2017,4,3,8,0.2775129902500289
2017,4,3,12,0.32352396100002895
2017,4,3,16,0.2562427595000289
2017,4,3,20,0.2813560537500288
2017,4,3,24,0.2815487297500289
2017,4,4,4,0.4152062420000289
2017,4,4,8,0.4822325432500289
2017,4,4,12,0.43074330825002893
2017,4,4,16,0.3161837432500289
2017,4,4,20,0.3241743240000289
2017,4,4,24,0.4129546160000289
2017,4,5,4,0.562915382250029
2017,4,5,8,0.6224627632500289
2017,4,5,12,0.660979438750029
2017,4,5,16,0.496833024500029
2017,4,5,20,0.4669329960000289
2017,4,5,24,0.429175874500029
2017,4,6,4,0.49835740475002893
2017,4,6,8,0.4248508070000289
2017,4,6,12,0.392217305500029
2017,4,6,16,0.24995765475002907
2017,4,6,20,0.25505187675002905
2017,4,6,24,0.24964037225002894
2017,4,7,4,0.613601162750029
2017,4,7,8,0.675973056750029
2017,4,7,12,0.5926256615000289
2017,4,7,16,0.44530794375002897
2017,4,7,20,0.572296165000029
2017,4,7,24,0.624925785500029
2017,4,8,4,0.8868958960000288
2017,4,8,8,0.9423319012500286
2017,4,8,12,0.8799435837500289
2017,4,8,16,0.5529290060000288
2017,4,8,20,0.5005897652500289
2017,4,8,24,0.5355751017500288
2017,4,9,4,0.7048083867500287
2017,4,9,8,0.6624761705000288
2017,4,9,12,0.6348396517500288
2017,4,9,16,0.5179289900000288
2017,4,9,20,0.6064115685000285
2017,4,9,24,0.7388258567500287
2017,4,10,4,0.7928595290000285
2017,4,10,8,0.7345466850000287
2017,4,10,12,0.5749008837500287
2017,4,10,16,0.5101405060000287
2017,4,10,20,0.39469058575002874
2017,4,10,24,0.29998199200002884
2017,4,11,4,0.4336931875000287
2017,4,11,8,0.46946319375002876
2017,4,11,12,0.3964932145000287
2017,4,11,16,0.21413594075002867
2017,4,11,20,0.21897637750002863
2017,4,11,24,0.24900051050002864
2017,4,12,4,0.47980113525002865
2017,4,12,8,0.5558048840000287
2017,4,12,12,0.4770571260000286
2017,4,12,16,0.26164836400002867
2017,4,12,20,0.2801506862500287
2017,4,12,24,0.2550354140000288
2017,4,13,4,0.5192119595000289
2017,4,13,8,0.5425148747500287
2017,4,13,12,0.38229568700002864
2017,4,13,16,0.2546688982500286
2017,4,13,20,0.3928764070000286
2017,4,13,24,0.4797008422500286
2017,4,14,4,0.7450693455000286
2017,4,14,8,0.7660098310000286
2017,4,14,12,0.7367068780000285
2017,4,14,16,0.6821483880000286
2017,4,14,20,0.7456914747500285
2017,4,14,24,0.7325099885000286
2017,4,15,4,0.8036907032500286
2017,4,15,8,0.7259462007500286
2017,4,15,12,0.6550038932500285
2017,4,15,16,0.5261936622500284
2017,4,15,20,0.5238911135000285
2017,4,15,24,0.6037006540000284
2017,4,16,4,0.7461440940000285
2017,4,16,8,0.7176240850000283
2017,4,16,12,0.5889424495000285
2017,4,16,16,0.3391913305000286
2017,4,16,20,0.3771560530000286
2017,4,16,24,0.3583287485000286
2017,4,17,4,0.47205770975002853
2017,4,17,8,0.40523300950002866
2017,4,17,12,0.25678341775002866
2017,4,17,16,0.13740556500002865
2017,4,17,20,0.25329069300002865
2017,4,17,24,0.4075765580000287
2017,4,18,4,0.6496041240000288
2017,4,18,8,0.6515509245000288
2017,4,18,12,0.5533903665000287
2017,4,18,16,0.38108790975002876
2017,4,18,20,0.33698362200002874
2017,4,18,24,0.30648599400002885
2017,4,19,4,0.5466702652500288
2017,4,19,8,0.5963102405000289
2017,4,19,12,0.5372076027500289
2017,4,19,16,0.44629283850002893
2017,4,19,20,0.504663969000029
