BEGIN_DATA,,,,
Year,Month,Day,Hour,solar 25% top
2017,6,27,16,0.5181017057500168
2017,6,27,20,0.8310268157500168
2017,6,27,24,0.7896707202500165
2017,6,28,4,0.24578714825001652
2017,6,28,8,1.6517167988326393e-14
2017,6,28,12,3.475000016517168e-06
2017,6,28,16,0.5441144147500165
2017,6,28,20,0.8451866720000167
2017,6,28,24,0.8004110285000168
2017,6,29,4,0.24446513425001662
2017,6,29,8,1.6606773486234057e-14
2017,6,29,12,3.650000016606773e-06
2017,6,29,16,0.5583770345000165
2017,6,29,20,0.8484610912500167
2017,6,29,24,0.8014942992500166
2017,6,30,4,0.24798195400001646
2017,6,30,8,1.6478460170823647e-14
2017,6,30,12,1.4425000164784601e-06
2017,6,30,16,0.5270271705000165
2017,6,30,20,0.8354470507500165
2017,6,30,24,0.7973329257500161
2017,7,1,4,0.24238824650001609
2017,7,1,8,1.6089885288578395e-14
2017,7,1,12,1.7350000160898852e-06
2017,7,1,16,0.5169515750000161
2017,7,1,20,0.8160458137500161
2017,7,1,24,0.7566491425000161
2017,7,2,4,0.22434509925001625
2017,7,2,8,1.624893901783144e-14
2017,7,2,12,1.9275000162489394e-06
2017,7,2,16,0.4765617527500163
2017,7,2,20,0.7913920425000164
2017,7,2,24,0.7369841505000164
2017,7,3,4,0.22026516325001644
2017,7,3,8,1.64375394797462e-14
2017,7,3,12,4.6000001643753947e-07
2017,7,3,16,0.4906003235000165
2017,7,3,20,0.8111229597500164
2017,7,3,24,0.7590910520000163
2017,7,4,4,0.23289403575001624
2017,7,4,8,1.623016029739081e-14
2017,7,4,12,1.95500001623016e-06
2017,7,4,16,0.5235952560000162
2017,7,4,20,0.8253363232500164
2017,7,4,24,0.7753114370000163
2017,7,5,4,0.23384342525001625
2017,7,5,8,1.6247145002049154e-14
2017,7,5,12,2.120000016247145e-06
2017,7,5,16,0.5112040097500162
2017,7,5,20,0.8071864827500161
2017,7,5,24,0.7506093825000163
2017,7,6,4,0.21461013100001636
2017,7,6,8,1.634506153429572e-14
2017,7,6,12,2.2975000163450614e-06
2017,7,6,16,0.4903495870000163
2017,7,6,20,0.7883699852500163
2017,7,6,24,0.7308760480000165
2017,7,7,4,0.20762894800001644
2017,7,7,8,1.6446147452072672e-14
2017,7,7,12,1.9550000164461475e-06
2017,7,7,16,0.4715666455000165
2017,7,7,20,0.7751559305000165
2017,7,7,24,0.7096555735000164
2017,7,8,4,0.1910967375000165
2017,7,8,8,1.6478816824634e-14
2017,7,8,12,5.100000164788168e-07
2017,7,8,16,0.46085998350001645
2017,7,8,20,0.7649790382500163
2017,7,8,24,0.6887452105000165
2017,7,9,4,0.1803193452500165
2017,7,9,8,1.6502047153198703e-14
2017,7,9,12,1.682500016502047e-06
2017,7,9,16,0.41869564650001656
2017,7,9,20,0.6918357175000166
2017,7,9,24,0.6082064545000165
2017,7,10,4,0.16069039850001654
2017,7,10,8,1.6538120962933283e-14
2017,7,10,12,1.957500016538121e-06
2017,7,10,16,0.4122249032500166
2017,7,10,20,0.7056904180000165
2017,7,10,24,0.6283264082500165
2017,7,11,4,0.16303797700001657
2017,7,11,8,1.656542645303401e-14
2017,7,11,12,1.3050000165654265e-06
2017,7,11,16,0.4584721262500166
2017,7,11,20,0.7511321255000165
2017,7,11,24,0.6246694852500163
2017,7,12,4,0.1619998352250164
2017,7,12,8,1.641017436398538e-14
2017,7,12,12,1.1450000164101743e-06
2017,7,12,16,0.45469488650001644
2017,7,12,20,0.7555409247500163
2017,7,12,24,0.6574633800000164
2017,7,13,4,0.17525741650001636
2017,7,13,8,1.6356707654985314e-14
2017,7,13,12,4.775000163567076e-07
2017,7,13,16,0.45147301775001636
2017,7,13,20,0.7308183817500162
2017,7,13,24,0.6016794240000164
2017,7,14,4,0.15679071100001643
2017,7,14,8,1.6438239658356224e-14
2017,7,14,12,4.075001643823966e-08
2017,7,14,16,0.41636622775001647
2017,7,14,20,0.7135371097500164
2017,7,14,24,0.6255782610000166
2017,7,15,4,0.17116680175001647
2017,7,15,8,1.6482475106993633e-14
2017,7,15,12,1.6482475106993633e-14
2017,7,15,16,0.4149725952500165
2017,7,15,20,0.7155777065000165
2017,7,15,24,0.6186173190000166
2017,7,16,4,0.1714484127500166
2017,7,16,8,1.660910992073994e-14
2017,7,16,12,2.775000166091099e-07
2017,7,16,16,0.4096949932500166
2017,7,16,20,0.7272641727500165
2017,7,16,24,0.6376736632500165
2017,7,17,4,0.1692310407500165
2017,7,17,8,1.6491148724373517e-14
