status,value,system_cost,co2_emissions,main mean demand,main energy weighted price,ev1 mean demand,ev1 energy weighted price,ev2 mean demand,ev2 energy weighted price,price closure,scenario,demand series,demand_ev1 series,demand_ev2 series,ev_load,ev2_pct,lost_load dispatch,main_node_curtailment dispatch,fossgas capacity,fossgas dispatch,solar series,solar capacity,wind series,wind capacity,storage_ev1 capacity,storage_ev1 dispatch,storage_ev1 stored,storage_ev2 capacity,storage_ev2 dispatch,storage_ev2 stored,storage capacity,storage dispatch,storage stored,transfer capacity,transfer dispatch,fossgas curtailment,ev demand,total demand,ev load fraction
optimal,7897.355341,0.8990614,0,1,0.839079729,0.72,0.251902722,0.08,0.751362697,-0.181497304,Mike_EV\Looping_Sol_Bat_evLoad0p8_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p8_pctEVLoad20p1_20220317-211017.xlsx,1,0.72,0.08,8.00E-01,10%,0.013547399,4.465218395,0,0,0.120154076,53.21615773,0.272143623,0,160.092,0.72,14.14711515,17.788,0.443857206,4.919050397,2.805047199,0.116366489,0.752123626,0.949575139,0.363857206,0,1.44,2.44,0.590163934
optimal,7983.828374,0.90890578,0,1,0.801591448,0.81,0.318002551,0.09,0.738458159,-0.216728969,Mike_EV\Looping_Sol_Bat_evLoad0p9_pctEVLoad20p1\Looping_Sol_Bat_evLoad0p9_pctEVLoad20p1_20220317-214332.xlsx,1,0.81,0.09,9.00E-01,10%,0.011847384,4.719793958,0,0,0.120154076,56.2747287,0.272143623,0,180.1035,0.81,16.29376584,20.0115,0.538434134,5.522507276,0.785331156,0.032587149,0.203234938,1.15375428,0.448434134,0,1.62,2.62,0.618320611
optimal,7251.872767,0.825577501,0,1,0.871194106,0.4,0.161971532,0.1,0.785244267,-0.188929644,Mike_EV\Looping_Sol_Bat_evLoad0p5_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p5_pctEVLoad20p2_20220317-193859.xlsx,1,0.4,0.1,5.00E-01,20%,0.019005287,3.707015788,0,0,0.120154076,44.08360818,0.272143623,0,88.94,0.4,7.29755098,22.235,0.465962449,5.405877413,2.704773925,0.112027839,0.718376241,0.958754755,0.365962449,0,0.8,1.8,0.444444444
optimal,7726.288262,0.879586551,0,1,0.898266674,0.08,0.036368825,0.02,0.791282285,-0.037415275,Mike_EV\Looping_Sol_Bat_evLoad0p1_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p1_pctEVLoad20p2_20220317-110442.xlsx,1,0.08,0.02,1.00E-01,20%,0.018996627,3.078940648,0,0,0.120154076,35.16105372,0.272143623,0,17.788,0.08,0.875730608,4.447,0.023173406,0.322284335,25.54108633,0.479384002,5.219744297,0.103094243,0.003173406,0,0.16,1.16,0.137931034
optimal,7564.899783,0.861213545,0,1,0.893765802,0.16,0.057495208,0.04,0.796718254,-0.07362022,Mike_EV\Looping_Sol_Bat_evLoad0p2_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p2_pctEVLoad20p2_20220317-173651.xlsx,1,0.16,0.04,2.00E-01,20%,0.020007984,3.067092535,0,0,0.120154076,35.97755595,0.272143623,0,35.576,0.16,2.597196086,8.894,0.047615656,1.003175493,20.43936737,0.47340726,5.060988859,0.230691866,0.007615656,0,0.32,1.32,0.242424242
optimal,7334.32221,0.834963822,0,1,0.872938425,0.32,0.163842479,0.08,0.781942602,-0.152959605,Mike_EV\Looping_Sol_Bat_evLoad0p4_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p4_pctEVLoad20p2_20220317-190319.xlsx,1,0.32,0.08,4.00E-01,20%,0.019418411,3.469362535,0,0,0.120154076,41.17816081,0.272143623,0,71.152,0.32,5.623393073,17.788,0.217619215,3.355484525,8.559232065,0.341210932,2.897259936,0.60055352,0.137619215,0,0.64,1.64,0.390243902
optimal,7430.759276,0.845942541,0,1,0.678735284,0.64,0.350427569,0.16,0.647753206,-0.1607069,Mike_EV\Looping_Sol_Bat_evLoad0p8_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p8_pctEVLoad20p2_20220317-211302.xlsx,1,0.64,0.16,8.00E-01,20%,0.008801784,4.60014367,0,0,0.120154076,54.38258061,0.272143623,0,142.304,0.64,10.9541418,35.576,0.644618673,8.075783413,0,0,0,1.344281262,0.484618673,0,1.28,2.28,0.561403509
optimal,7892.684453,0.898529651,0,1,0.898529654,8.00E-11,0,2.00E-11,0.763260016,-3.68E-09,Mike_EV\Looping_Sol_Bat_evLoad0p0_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p0_pctEVLoad20p2_20220317-154244.xlsx,1,8.00E-11,2.00E-11,1.00E-10,20%,0.018475738,3.134849085,0,0,0.120154076,34.70658649,0.272143623,0,1.78E-08,8.00E-11,0,4.45E-09,4.05E-10,0,29.44240437,0.483380902,4.995437847,0,3.85E-10,0,1.60E-10,1,1.60E-10
optimal,7430.692833,0.845934976,0,1,0.881736344,0.24,0.164658357,0.06,0.777179064,-0.121950117,Mike_EV\Looping_Sol_Bat_evLoad0p3_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p3_pctEVLoad20p2_20220317-180735.xlsx,1,0.24,0.06,3.00E-01,20%,0.01898964,3.279287442,0,0,0.120154076,38.67642127,0.272143623,0,53.364,0.24,4.012957207,13.341,0.08423028,1.829600412,14.97385057,0.45623368,4.386088556,0.366229384,0.02423028,0,0.48,1.48,0.324324324
optimal,7211.00179,0.820924612,0,1,0.798061851,0.48,0.257550712,0.12,0.738074786,-0.189330556,Mike_EV\Looping_Sol_Bat_evLoad0p6_pctEVLoad20p2\Looping_Sol_Bat_evLoad0p6_pctEVLoad20p2_20220317-201245.xlsx,1,0.48,0.12,6.00E-01,20%,0.015960952,3.99721136,0,0,0.120154076,47.45063973,0.272143623,0,106.728,0.48,8.62982909,26.682,0.599728436,6.449862885,0,0,0,1.341748636,0.479728436,0,0.96,1.96,0.489795918
