Demand data from Toktarova 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
Lines above 'BEGIN_DATA' in the first column are for comment only.,,,,
,,,,
BEGIN_DATA,,,,
Year,Month,Day,Hour,Demand (MW)
2019,1,5,17,0.9736929839159549
2019,1,5,18,0.9741609974607323
2019,1,5,19,0.9746261539979868
2019,1,5,20,0.9750877392758383
2019,1,5,21,0.9756374007387191
2019,1,5,22,0.9762899144724095
2019,1,5,23,0.9769343482317
2019,1,5,24,0.9774552164156434
2019,1,6,1,0.977870911010165
2019,1,6,2,0.9782564284627303
2019,1,6,3,0.9786335980964409
2019,1,6,4,0.9789401460754551
2019,1,6,5,0.9792256236239908
2019,1,6,6,0.9794892718494252
2019,1,6,7,0.9797305104221051
2019,1,6,8,0.9813009717446216
2019,1,6,9,0.9828132661796097
2019,1,6,10,0.9843228821700456
2019,1,6,11,0.9859308417162946
2019,1,6,12,0.9877611568011293
2019,1,6,13,0.9899319468293081
2019,1,6,14,0.9925281184931393
2019,1,6,15,0.9955739563565643
2019,1,6,16,0.9990185699730888
2019,1,6,17,1.002738036641425
2019,1,6,18,1.0065548201284953
2019,1,6,19,1.0102702244892605
2019,1,6,20,1.0137031868719821
2019,1,6,21,1.016807682671103
2019,1,6,22,1.0195331339253269
2019,1,6,23,1.0217977587943223
2019,1,6,24,1.0235871829589913
2019,1,7,1,1.0250418461953623
2019,1,7,2,1.0263552214815972
2019,1,7,3,1.0276499815781936
2019,1,7,4,1.0290635753314286
2019,1,7,5,1.030531809353531
2019,1,7,6,1.0320350863585261
2019,1,7,7,1.0335374705486708
2019,1,7,8,1.0336620182203542
2019,1,7,9,1.0338057167705867
2019,1,7,10,1.033970753595753
2019,1,7,11,1.0341590928885243
2019,1,7,12,1.0343706900081584
2019,1,7,13,1.0346037146842109
2019,1,7,14,1.0348569616166334
2019,1,7,15,1.035130341523941
2019,1,7,16,1.0354251043469247
2019,1,7,17,1.035743749967167
2019,1,7,18,1.0360899389255556
2019,1,7,19,1.0364679567333743
2019,1,7,20,1.0368796783018102
2019,1,7,21,1.0371191758855314
2019,1,7,22,1.0371661825874245
2019,1,7,23,1.0372701508767974
2019,1,7,24,1.0376587485405984
2019,1,8,1,1.0382780495618396
2019,1,8,2,1.0389620796597625
2019,1,8,3,1.0396572253025773
2019,1,8,4,1.0403456301932688
2019,1,8,5,1.041061623062849
2019,1,8,6,1.0418032843593892
2019,1,8,7,1.0425685159679898
2019,1,8,8,1.043354996570039
2019,1,8,9,1.0441603155654395
2019,1,8,10,1.044981705228154
2019,1,8,11,1.045816442472888
2019,1,8,12,1.0466617595736034
2019,1,8,13,1.0475150673672333
2019,1,8,14,1.0483735088462556
2019,1,8,15,1.0492340037994343
2019,1,8,16,1.0500930256081094
2019,1,8,17,1.0509468244499072
2019,1,8,18,1.0517913380172572
2019,1,8,19,1.05262237008036
2019,1,8,20,1.0534359029723879
2019,1,8,21,1.0542567123054494
2019,1,8,22,1.0550905120945897
2019,1,8,23,1.0558990898641953
2019,1,8,24,1.0566359746012837
2019,1,9,1,1.0573031304985268
2019,1,9,2,1.057924842119865
2019,1,9,3,1.058507493091482
2019,1,9,4,1.0590484496095676
2019,1,9,5,1.0595409709219985
2019,1,9,6,1.0599822446619949
2019,1,9,7,1.0603695923850043
2019,1,9,8,1.0607004695687023
2019,1,9,9,1.0609726441759615
2019,1,9,10,1.0611840627326257
2019,1,9,11,1.0613328503275077
2019,1,9,12,1.0614195872902605
2019,1,9,13,1.0614469520654368
2019,1,9,14,1.0614169534864506
2019,1,9,15,1.0613304397274104
2019,1,9,16,1.0611868750994053
2019,1,9,17,1.0609843400505066
2019,1,9,18,1.0607198436509635
2019,1,9,19,1.060389725359889
2019,1,9,20,1.0599917084994128
2019,1,9,21,1.0596572154155695
2019,1,9,22,1.0594070933351245
2019,1,9,23,1.0590805463034534
2019,1,9,24,1.0585209299549867
2019,1,10,1,1.057763242631875
2019,1,10,2,1.0569222110424434
2019,1,10,3,1.0560380118549766
2019,1,10,4,1.055108413032348
2019,1,10,5,1.0541291737040162
2019,1,10,6,1.0531034187219588
